pintu_masuk,bulan,tahun_2009,tahun_2010,growth
"Entikong, Pontianak",Agustus,1578,1874,18.76
"Entikong, Pontianak",September,2192,1816,-17.15
"Entikong, Pontianak",Oktober,1314,1139,-13.32
"Entikong, Pontianak",November,1855,1915,3.23
"Entikong, Pontianak",Desember,3054,3281,7.43
"Bandar Udara Adi Sumarmo, Surakarta",Januari,1088,1033,-5.06
"Bandar Udara Adi Sumarmo, Surakarta",Februari,909,1163,27.94
"Bandar Udara Adi Sumarmo, Surakarta",Maret,1313,2117,61.23
"Bandar Udara Adi Sumarmo, Surakarta",April,1192,1790,50.17
"Bandar Udara Adi Sumarmo, Surakarta",Mei,1444,2368,63.99
"Bandar Udara Adi Sumarmo, Surakarta",Juni,1611,2183,35.51
"Bandar Udara Adi Sumarmo, Surakarta",Juli,1713,2334,36.25
"Bandar Udara Adi Sumarmo, Surakarta",Agustus,1391,2067,48.6
"Bandar Udara Adi Sumarmo, Surakarta",September,1211,2361,94.96
"Bandar Udara Adi Sumarmo, Surakarta",Oktober,1777,2384,34.16
"Bandar Udara Adi Sumarmo, Surakarta",November,1239,869,-29.86
"Bandar Udara Adi Sumarmo, Surakarta",Desember,1601,1681,5
"Bandar Udara Minangkabau, Padang",Januari,3757,1714,-54.38
"Bandar Udara Minangkabau, Padang",Februari,4611,2005,-56.52
"Bandar Udara Minangkabau, Padang",Maret,4597,2350,-48.88
"Bandar Udara Minangkabau, Padang",April,4450,1906,-57.17
"Bandar Udara Minangkabau, Padang",Mei,5776,2092,-63.78
"Bandar Udara Minangkabau, Padang",Juni,6224,2972,-52.25
"Bandar Udara Minangkabau, Padang",Juli,6872,2434,-64.58
"Bandar Udara Minangkabau, Padang",Agustus,1932,1180,-38.92
"Bandar Udara Minangkabau, Padang",September,1965,2279,15.98
"Bandar Udara Minangkabau, Padang",Oktober,4140,1864,-54.98
"Bandar Udara Minangkabau, Padang",November,3037,3342,10.04
"Bandar Udara Minangkabau, Padang",Desember,3641,3344,-8.16
"Pelabuhan Tanjung Priok, Jakarta ",Januari,5911,5535,-6.36
"Pelabuhan Tanjung Priok, Jakarta ",Februari,5111,5260,2.92
"Pelabuhan Tanjung Priok, Jakarta ",Maret,4957,5271,6.33
"Pelabuhan Tanjung Priok, Jakarta ",April,5212,4945,-5.12
"Pelabuhan Tanjung Priok, Jakarta ",Mei,5567,4720,-15.21
"Pelabuhan Tanjung Priok, Jakarta ",Juni,5444,5035,-7.51
"Pelabuhan Tanjung Priok, Jakarta ",Juli,4791,5088,6.2
"Pelabuhan Tanjung Priok, Jakarta ",Agustus,4583,5943,29.67
"Pelabuhan Tanjung Priok, Jakarta ",September,4959,4776,-3.69
"Pelabuhan Tanjung Priok, Jakarta ",Oktober,4746,5690,19.89
"Pelabuhan Tanjung Priok, Jakarta ",November,3011,6044,100.73
"Pelabuhan Tanjung Priok, Jakarta ",Desember,4920,5552,12.85
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Januari,9909,6173,-37.7
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Februari,6606,8548,29.4
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Maret,9867,7731,-21.65
"Pelabuhan Tanjung Pinang, Kepulauan Riau",April,8428,7942,-5.77
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Mei,9001,8474,-5.85
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Juni,10241,10030,-2.06
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Juli,7159,8091,13.02
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Agustus,8025,7093,-11.61
"Pelabuhan Tanjung Pinang, Kepulauan Riau",September,8407,8390,0.2
